"Beleg-Nr.","Beleg-Datum","Pos.","Artikel-Nr.","Artikel-Bezeichnung","Menge","ME","Einzelpreis","Pos.-Wert","MwSt.-satz","MwSt","EAN"
729133,"05.03.2020",580,5827,"Sagrotan Spray 400ml",600,"Stck.",5.50,3.300.00,19.00,564.30," 4002448056577"
729133,"05.03.2020",590,4045,"Sagrotan Wäsche Sensitiv 1.5 Liter",8,"Stck.",3.48,27.84,19.00,4.76," 4002448078678"
729133,"05.03.2020",600,14034,"Simplicol intensiv 1804 Rubin Rot",4,"Stck.",3.89,15.56,19.00,2.66," 4052400018044"
729133,"05.03.2020",610,14038,"Simplicol intensiv 1808 Nacht Blau",8,"Stck.",3.89,31.12,19.00,5.32," 4052400018082"
729133,"05.03.2020",620,14044,"Simplicol intensiv 1814 Oliv Grün",4,"Stck.",3.89,15.56,19.00,2.66," 4052400018143"
729133,"05.03.2020",630,400,"Penaten Tücher NF 280er (5x56)",0,"Stck.",3.89,0.00,19.00,0.00," 3574661415918"
729133,"05.03.2020",640,11570,"Always SL VP Multiform Normal 74er",7,"Stck.",2.35,16.45,7.00,1.04," 8001090737847"
729133,"05.03.2020",650,5078,"Liasan/Sagrotan Intima Pflegetücher sensitive 30er",45,"Stck.",1.84,82.80,19.00,14.16," 4002448030805"
729133,"05.03.2020",660,5024,"Duniwell Einmal Handtuch 20er",3,"Stck.",1.28,3.84,19.00,0.66," 7321011567393"
729133,"05.03.2020",670,5164,"Fischar Natriumhydroxid 5kg",2,"Stck.",19.99,39.98,19.00,6.84," 4008978137151"
