"Artikel-Nr.","Bezeichnung","EAN-Nr.","Lagerbestand","ME","MwSt.-satz"
185,"B.Rasierspiegel Metall 11cm+Vergrößerung","",217.00,"Stck.",19.00
186,"Gillette Klingen Sensor 10er","7702018417872",16.00,"Stck.",19.00
191,"Gillette EWR Blue 3 smooth 4+2","7702018474851",42.00,"Stck.",19.00
196,"Gillette Apparat Sensor Excel universal","7702018842384",436.00,"Stck.",19.00
197,"Jovan Men Black Musk EDC Vapo 88ml","3607341046734",12.00,"Stck.",19.00
199,"Gillette EWR Blue 3 Simple 4+1","7702018434626",48.00,"Stck.",19.00
201,"Wilkinson Rasierpinsel Dachs/Borste Mix 231","40278070",5.00,"Stck.",19.00
202,"Wilkinson Rasierpinsel Reine Borste 237","40278155",3.00,"Stck.",19.00
203,"Gillette Apparat Mach3 Start","7702018460373",15.00,"Stck.",19.00
204,"Gillette Klingen Mach3 Start 5er","7702018460250",22.00,"Stck.",19.00
205,"Wilkinson Apparat Classic 155","4027800015504",407.00,"Stck.",19.00
206,"Gillette Klingen Mach3 Start 8er","7702018460281",11.00,"Stck.",19.00
210,"Wilkinson Klingen Protector 10er","4027800013302",6.00,"Stck.",19.00
211,"Palmolive Rasiercreme sensitive 100ml","4011200115902",1.00,"Stck.",19.00
212,"Gillette Klingen Fusion5 Proglide 4er","7702018455690",24.00,"Stck.",19.00
213,"Wilkinson Klingen Duplo II Plus 10er","4027800012404",7.00,"Stck.",19.00
214,"Wilkinson Apparat Hydro5 Sense Comfort","4027800038701",38.00,"Stck.",19.00
215,"Wilkinson Klingen Hydro5 Sense Comfort 4er","4027800004003",71.00,"Stck.",19.00
216,"Gillette Apparat Skinguard Sensitive","7702018491698",8.00,"Stck.",19.00
217,"Gillette Klingen Skinguard Sensitive 5er","7702018487721",8.00,"Stck.",19.00
218,"Wilkinson Pflege Rasierstift","4027800020157",29.00,"Stck.",19.00
222,"Axe After Shave Dark Temptation 100ml","8717644285930",6.00,"Stck.",19.00
223,"Axe After Shave Ice Chill 100ml","8710522434857",10.00,"Stck.",19.00
225,"Wilkinson Pflege Rasierseife 50g","4027800921805",0.00,"Stck.",19.00
227,"Wilkinson Klingen Quattro 4er","4027800009404",21.00,"Stck.",19.00
228,"Axe After Shave Gold 100ml","8710447307021",9.00,"Stck.",19.00
233,"Axe After Shave Black 100ml","8712561622196",14.00,"Stck.",19.00
234,"Wilkinson Apparat Quattro Titanium PRECISION","4027800037803",0.00,"Stck.",19.00
249,"Gillette EWR Body 3er","7702018344222",4.00,"Stck.",19.00
251,"Gillette Klingen Fusion 5er","7702018441433",14.00,"Stck.",19.00
252,"Gillette Apparat Fusion Proglide Flexball","7702018447923",18.00,"Stck.",19.00
253,"Gillette Klingen Fusion 8er","7702018441105",11.00,"Stck.",19.00
254,"Gillette Apparat Fusion5 Proglide Power","7702018447954",18.00,"Stck.",19.00
255,"Gillette Apparat Fusion Proglide Styler","7702018273423",6.00,"Stck.",19.00
256,"Gillette Klingen Fusion Power 4er","7702018458868",25.00,"Stck.",19.00
258,"Gillette Klingen Fusion Power 8er","7702018440627",1.00,"Stck.",19.00
260,"Wilkinson Apparat Hydro5 POWER SELECT","4027800039562",137.00,"Stck.",19.00
265,"Wilkinson Pflege Schaum Protect sensitive 200ml","4027800520800",132.00,"Stck.",19.00
269,"Axe After Shave Alaska 100ml","40883311",8.00,"Stck.",19.00
277,"Gillette Pflege Series After Cool Wave 100ml","3014260218799",10.00,"Stck.",19.00
280,"GB Grooming Bart Festigkeitsserum 100ml VK14.99","0886011001478",3.00,"Stck.",19.00
281,"GB Grooming Bart Pflegeöl 75ml VK17.99","0886011001461",6.00,"Stck.",19.00
282,"Palmolive Rasierschaum sensitive 300ml","8714789849195",104.00,"Stck.",19.00
285,"Gillette Klingen Fusion Proglide Power 4er","7702018455720",19.00,"Stck.",19.00
287,"Gillette Apparat Fusion Proshield Chill","7702018463589",9.00,"Stck.",19.00
289,"Gillette Apparat Fusion Proshield Hautschutz","7702018463626",4.00,"Stck.",19.00
319,"Penaten Sensitiv Creme G+K o.P.100ml","3574661264998",465.00,"Stck.",19.00
321,"Gillette Klingen Sensor excel 10er","7702018417759",16.00,"Stck.",19.00
325,"Penaten Sensitiv Pflegelotion 400ml","3574661264455",22.00,"Stck.",19.00
329,"Gillette Pflege Gel empf.Haut 200ml","3014260113902",53.00,"Stck.",19.00
334,"Weleda Calendula Gesichtscreme 50ml","4001638096614",3.00,"Stck.",19.00
350,"Bebe Zartpflege Reinigungstücher 56er","3574661421735",48.00,"Stck.",19.00
351,"Bebe Zartpflege Schaumbad&Dusche 500ml","3574669907033",7.00,"Stck.",19.00
352,"Penaten Intensiv Creme G+K 100ml","3574661264967",23.00,"Stck.",19.00
353,"Bebe Zartpflege Milde Handseife 300ml","3574669907040",22.00,"Stck.",19.00
354,"Bebe Zartpflege Pflege Lotion 300ml","3574669909471",1.00,"Stck.",19.00
355,"Bebe Zartpflege Creme 50ml","3574661199641",25.00,"Stck.",19.00
356,"Bebe Zartpflege Creme 150ml","3574661444123",38.00,"Stck.",19.00
360,"Penaten Intensiv Pflegemilch 400ml","3574660549102",106.00,"Stck.",19.00
362,"Weleda Calendula Pflegemilch 200ml","4001638096539",6.00,"Stck.",19.00
366,"Weleda Calendula Waschlotion&Shampoo 200ml","4001638096515",7.00,"Stck.",19.00
377,"Penaten Intensiv Creme Bad 400ml","3574660540956",39.00,"Stck.",19.00
380,"Bebe Zartpflege Creme 25ml","3574661444130",117.00,"Stck.",19.00
385,"Weleda Calendula Bad 200ml","4001638096584",1.00,"Stck.",19.00
388,"Weleda Calendula Wind&Wetter 30ml","4001638096638",5.00,"Stck.",19.00
398,"Kaufmanns Haut&Kinder Creme 30ml","4011448001005",40.00,"Stck.",19.00
399,"Kaufmanns Haut&Kinder Creme 75ml","4011448001104",25.00,"Stck.",19.00
400,"Penaten Tücher NF 280er (5x56)","3574661415918",0.00,"Stck.",19.00
401,"Penaten Tücher ultra sens.20er","3574661265957",209.00,"Stck.",19.00
402,"Adidas Basic Deo Spray Climacool 150ml","3607343817547",19.00,"Stck.",19.00
404,"Adidas Basic Deo Spray 6in1 150ml","3607343509213",7.00,"Stck.",19.00
406,"Penaten Tücher NF Sensitiv 280er (5x56)","3574661415949",12.00,"Stck.",19.00
410,"Adidas Basic Deo Spray Adipower 150ml","3614224051082",15.00,"Stck.",19.00
411,"Adidas Basic Dusche Adipower 250ml","3614225086205",6.00,"Stck.",19.00
419,"Adidas Unlock EDT Vapo 30ml","3614225825194",48.00,"Stck.",19.00
420,"Adidas Unlock EDT Vapo 50ml","3614225573019",12.00,"Stck.",19.00
425,"Adidas Basic Deo Spray Adipure 150ml","3614221072585",5.00,"Stck.",19.00
429,"Adidas Basic Dusche Adipure 250ml","3614223412105",13.00,"Stck.",19.00
430,"Adidas Dynamic After Shave 100ml","3412242330055",5.00,"Stck.",19.00
431,"Adidas Basic Dusche Climacool 250ml","3614221653814",12.00,"Stck.",19.00
432,"Adidas Dynamic Deo Spray 150ml","3607345265704",22.00,"Stck.",19.00
433,"Adidas Dynamic Dusche 250ml","3607340723346",12.00,"Stck.",19.00
434,"Adidas Dynamic EDT Vapo 50ml","3412242310057",14.00,"Stck.",19.00
435,"Esprit Live The Moment Man EDT Vapo 30ml","3607346631331",6.00,"Stck.",19.00
440,"Adidas Team Five EDT Vapo 50ml","3607346551158",17.00,"Stck.",19.00
444,"Adidas Basic Deo Spray Fresh 150ml","3607349687472",9.00,"Stck.",19.00
447,"Adidas Basic Dusche Active Start 250ml","3607340726682",6.00,"Stck.",19.00
449,"Adidas Basic Dusche After Sport 250ml","3607340722127",13.00,"Stck.",19.00
451,"Adidas Ice Dive After Shave 100ml","3412242630155",11.00,"Stck.",19.00
453,"Adidas Ice Dive Deo Spray 150ml","3607345266190",12.00,"Stck.",19.00
454,"Adidas Ice Dive Dusche 250ml","3614229827262",13.00,"Stck.",19.00
455,"Adidas Ice Dive EDT Vapo 50ml","3412242610065",8.00,"Stck.",19.00
460,"Adidas Basic Dusche Sport Energy 250ml","3607347320241",8.00,"Stck.",19.00
462,"Adidas Basic Dusche Hydra Sport 250ml","3607343567893",9.00,"Stck.",19.00
468,"Gillette Apparat Mach3","3014260239626",36.00,"Stck.",19.00
469,"Gillette Klingen Mach3 6er","7702018515486",41.00,"Stck.",19.00
470,"Gillette Klingen Mach3 8er","7702018453030",51.00,"Stck.",19.00
477,"Gillette Apparat Mach3 Turbo","7702018519446",3.00,"Stck.",19.00
478,"Gillette Klingen Mach3 Turbo 5er","7702018453214",12.00,"Stck.",19.00
486,"Gillette Klingen Fusion5 Proshield Chill 4er","7702018448760",9.00,"Stck.",19.00
494,"Gillette Klingen Fusion Proshield Hautschutz 4er","7702018448739",9.00,"Stck.",19.00
495,"Gillette Klingen Fusion Proshield Chill 6er","7702018413447",10.00,"Stck.",19.00
496,"Adidas Born Original EDT Vapo 50ml","3607343865425",5.00,"Stck.",19.00
497,"Gillette Klingen Fusion5 Proshield Hautschutz 6er","7702018441525",5.00,"Stck.",19.00
498,"Adidas Born Original TODAY EDT Vapo 30ml","3614222706786",20.00,"Stck.",19.00
499,"Adidas Born Original TODAY EDT Vapo 50ml","3614222706885",13.00,"Stck.",19.00
502,"Penaten Sensitiv Pflegeöl 200ml","3574661264448",17.00,"Stck.",19.00
503,"Adidas Get Ready After Shave 100ml","3607342734616",12.00,"Stck.",19.00
504,"Adidas Get Ready Deo Spray 150ml","3607342735255",11.00,"Stck.",19.00
506,"Adidas Get Ready Dusche 250ml","3607342734272",22.00,"Stck.",19.00
507,"Penaten Puder 100g","3574661482408",57.00,"Stck.",19.00
508,"Adidas Get Ready EDT Vapo 50ml","3607342733725",3.00,"Stck.",19.00
513,"Duniwell Baby Waschlappen 40er","7321011643721",33.00,"Stck.",19.00
516,"Davidoff Cool Water Men Deo Nat.75ml","3414202000220",4.00,"Stck.",19.00
519,"Happies Baby Pflegetücher 100er","5029053567952",19.00,"Stck.",19.00
523,"Penaten Wind+Wetter Creme 75ml","3574661264981",72.00,"Stck.",19.00
530,"Penaten Wasch+Dusch Creme 400ml","3574661474953",10.00,"Stck.",19.00
531,"Davidoff Cool Water Men Dusche 150ml","3414200010214",6.00,"Stck.",19.00
533,"Boss Bottled After Shave 100ml","0737052351186",3.00,"Stck.",19.00
534,"Boss Bottled Deo Spray 150ml","0737052355054",4.00,"Stck.",19.00
535,"Boss Bottled Deo Stick 75ml","0737052354996",9.00,"Stck.",19.00
